i,stonk,correlation
0,CSCO,0.8948521223616466
1,UFCS,0.6750672132567797
2,CHY,-0.35374713389037965
3,PEGA,0.9541659074507777
4,RGEN,0.9317554056162032
5,NICE,0.9537333296743935
6,HSTM,0.7453824992464687
7,NTCT,0.6346142357315459
8,MSTR,0.6417900313588337
9,SKYW,0.784018278182387
10,UEIC,0.6765190916099925
11,RYAAY,0.8503470939909528
12,CPRT,0.9014971758066751
13,SYPR,-0.5733709527702011
14,SBSI,0.9353970973890177
15,FOSL,-0.2413422365968038
16,INTC,0.9591990547755791
17,CSGP,0.9613337411316776
18,LWAY,-0.3272147410405445
19,IDCC,0.8005309057784263
20,RMCF,-0.2243010152275085
21,FFIN,0.9687270320222837
22,MSFT,0.9406941618887983
23,WLFC,0.875908181035472
24,CHDN,0.9619883031190206
25,PROV,0.16403157125031653
26,IBOC,0.8038806574127085
27,CWST,0.7755695544732953
28,MRCY,0.8509948357046193
29,CMCO,0.7473299781623285
30,NVDA,0.8941103357124223
31,CME,0.8697498847008304
32,PNFP,0.8563973128395757
33,CETV,-0.5402644926170577
34,STKL,-0.06275927937499867
35,KIRK,-0.001119893046848986
36,GBCI,0.9263102420259521
37,NRIM,0.8593896282792832
38,HTLF,0.8867016942477012
39,UNFI,-0.06005985927159914
40,TLT,0.7844237505588839
41,LBAI,0.7493530892706495
42,USEG,-0.6974907848075923
43,MLHR,0.6513749311206463
44,HSKA,0.8994953581521984
45,ILMN,0.9661510774484661
46,SCSC,0.5174365926698106
47,GIFI,-0.706355567535407
48,CINF,0.9100933924934237
49,UTSI,-0.43778237280880017
50,PRSC,0.914304228288569
51,EBIX,0.7857571736385519
52,SANM,0.5836820208377614
53,CLCT,0.6912769742492462
54,JKHY,0.989542195265768
55,RTIX,-0.32339084190444545
56,SLGN,0.864015489171576
57,UMPQ,0.06376248657740974
58,TECD,0.9444499562330044
59,MTRX,0.3644379793831143
60,WSTL,-0.5350908005368866
61,PRGS,0.9246129239520171
62,CTHR,-0.4034052886075201
63,HBAN,0.036157531346559295
64,NTWK,-0.5531047020973298
65,ICLR,0.9774668474040079
66,AAPL,0.9711264760473876
67,INDB,0.9547822947923916
68,FTEK,-0.591409785635697
69,KTCC,0.3544272037654325
70,PESI,-0.6086225248643226
71,FBNC,0.7757655664065726
72,SINA,0.364699353607864
73,COHU,0.251803159622316
74,SCON,-0.5580171155203012
